#{"t_start": 1765177217.755359, "env_id": "None"}
r,l,t
3.527666,1,3.17223
3.655807,1,4.76051
3.372394,1,4.797184
-4.761637,1,4.829318
-4.910456,1,4.861598
3.5453,1,4.887393
-4.910454,1,4.917674
3.675424,1,4.94407
-4.761636,1,5.607112
3.410003,1,5.63277
-4.910456,1,5.658529
3.86674,1,5.686907
3.432123,1,5.712469
-4.912152,1,5.729331
3.494621,1,5.763262
-4.91046,1,5.796517
3.407202,1,5.827995
-4.910458,1,5.855532
3.811541,1,6.066374
-4.665826,1,6.090791
3.974796,1,6.122673
-4.910456,1,6.145115
3.416215,1,6.171642
3.957233,1,6.196614
3.596469,1,6.221282
3.888149,1,6.241319
3.813766,1,6.26411
3.598553,1,6.280713
3.461875,1,6.485193
-4.910451,1,6.506379
3.412507,1,6.533674
3.693956,1,6.56215
3.542716,1,6.585846
-4.910455,1,6.609551
3.955079,1,8.084106
3.405149,1,8.116208
3.464615,1,8.14279
3.928068,1,8.179122
3.466708,1,8.393504
-4.910455,1,8.423089
3.594701,1,8.447461
3.632176,1,8.477246
-4.91046,1,8.505811
3.405411,1,8.537894
3.461818,1,8.561641
-4.910455,1,8.59594
-4.910455,1,8.621054
3.430977,1,8.723423
-4.910454,1,8.942991
3.363211,1,8.967803
-4.910454,1,9.002531
3.584446,1,9.034976
3.580642,1,9.075855
3.637668,1,9.104251
3.640092,1,9.129064
3.639362,1,9.148984
-4.910451,1,9.183535
3.434409,1,9.218716
3.458132,1,9.430317
3.608125,1,9.457864
-4.910453,1,9.488259
-4.91046,1,9.519134
3.222455,1,9.657716
3.593923,1,9.687382
3.266909,1,9.794644
-5.212483,1,9.8151
3.461704,1,9.845517
3.580736,1,9.881276
3.49095,1,10.093958
3.472339,1,10.117174
3.611979,1,10.148431
3.764779,1,10.190626
3.518372,1,10.225377
3.404826,1,10.254579
3.401141,1,10.278845
3.412732,1,10.311878
3.10916,1,10.346128
3.461679,1,10.370944
3.406056,1,10.597222
-4.57586,1,10.620483
3.405652,1,10.652472
3.415639,1,11.275822
-4.910455,1,11.318561
-4.920398,1,11.353969
3.461814,1,11.380061
3.468564,1,11.404455
3.441979,1,11.436191
3.93601,1,11.730457
-4.910454,1,11.953265
-4.761632,1,11.987838
3.357715,1,12.024886
-4.761645,1,12.05868
3.461947,1,12.084103
-4.761645,1,12.122545
3.130969,1,12.158966
3.581848,1,12.207672
-5.212484,1,12.2313
3.408971,1,12.265118
3.74139,1,12.510011
3.462737,1,12.535903
3.817134,1,12.5621
3.612791,1,12.599747
3.372997,1,12.628728
3.524836,1,12.663219
-4.694133,1,13.118214
-4.910454,1,13.152845
-4.523553,1,13.175732
3.361599,1,13.212414
-4.910454,1,13.44133
3.815248,1,13.469008
-4.91046,1,13.500734
3.585245,1,13.525942
-4.910454,1,13.563811
3.882316,1,14.00142
3.809588,1,14.03399
3.595563,1,14.066728
3.404798,1,14.100223
3.582043,1,14.140864
3.720783,1,14.365001
3.486108,1,14.393732
3.637658,1,14.419376
3.739951,1,14.457229
3.611018,1,14.497409
19.798925,2,16.640976
3.593392,1,18.01656
3.46043,1,18.044215
3.461832,1,18.071215
3.467841,1,18.097145
3.89033,1,21.355704
-4.910456,1,21.395123
3.640788,1,21.426593
3.705364,1,21.456899
3.49207,1,21.489223
3.4663,1,21.514072
-4.650799,1,21.545067
3.493406,1,21.576749
3.626632,1,21.612222
-4.761636,1,21.643242
3.311504,1,22.20693
3.639578,1,22.240427
3.575969,1,22.275381
3.580944,1,22.306286
-4.761636,1,22.334145
-4.910455,1,22.362093
3.405447,1,22.396066
3.461421,1,22.424205
2.391679,1,22.987694
3.49399,1,23.017104
3.812248,1,23.237682
3.213672,1,23.259208
3.468632,1,23.284464
3.812613,1,23.311659
-4.910455,1,23.345067
-5.212479,1,23.37055
-4.910455,1,23.400107
3.410002,1,23.429762
-4.910453,1,23.460968
-4.761644,1,23.491039
3.580947,1,23.710622
-4.910454,1,23.741425
-4.910455,1,23.766527
3.580384,1,23.805284
3.821058,1,23.830666
3.813926,1,23.85839
-4.910453,1,23.882384
-4.761641,1,23.914026
3.403888,1,23.93908
3.812196,1,23.970855
3.580339,1,24.190559
3.580061,1,24.225945
3.464222,1,24.252144
-5.212475,1,24.276594
3.497997,1,24.303735
-4.910456,1,24.329635
3.410193,1,24.355501
